Time[s], SD_DIN, SD_DOUT, SD_NCS, SD_CLK
0.000439360, 1, 0, 0, 0
0.000439520, 1, 1, 0, 0
0.000439600, 1, 0, 0, 0
0.000439840, 1, 1, 0, 0
0.000439920, 1, 0, 0, 0
0.000440000, 1, 1, 0, 0
0.000440080, 1, 0, 0, 0
0.000440240, 1, 1, 0, 0
0.000440320, 1, 0, 0, 0
0.000440400, 1, 1, 0, 0
0.000440720, 1, 0, 0, 0
0.000440880, 1, 1, 0, 0
0.000441120, 1, 0, 0, 0
0.000441200, 1, 1, 0, 0
0.000441360, 1, 0, 0, 0
0.000441520, 1, 1, 0, 0
0.000441680, 1, 0, 0, 0
0.000441760, 1, 1, 0, 0
0.000441920, 1, 0, 0, 0
0.000442160, 1, 1, 0, 0
0.000442640, 1, 0, 0, 0
0.000442800, 1, 1, 0, 0
0.000443040, 1, 0, 0, 0
0.000443120, 1, 1, 0, 0
0.000443200, 1, 0, 0, 0
0.000443520, 1, 1, 0, 0
0.000443600, 1, 0, 0, 0
0.000443680, 1, 1, 0, 0
0.000443840, 1, 0, 0, 0
0.000444080, 1, 1, 0, 0
0.000444160, 1, 0, 0, 0
0.000444320, 1, 1, 0, 0
0.000444560, 1, 0, 0, 0
0.000444880, 1, 1, 0, 0
0.000444960, 1, 0, 0, 0
0.000445040, 1, 1, 0, 0
0.000445120, 1, 0, 0, 0
0.000445360, 1, 1, 0, 0
0.000445440, 1, 0, 0, 0
0.000445680, 1, 1, 0, 0
0.000445840, 1, 0, 0, 0
0.000446080, 1, 1, 0, 0
0.000446240, 1, 0, 0, 0
0.000446720, 1, 1, 0, 0
0.000446880, 1, 0, 0, 0
0.000446960, 1, 1, 0, 0
0.000447040, 1, 0, 0, 0
0.000448080, 1, 1, 0, 0
0.000448160, 1, 0, 0, 0
0.000448320, 1, 1, 0, 0
0.000448400, 1, 0, 0, 0
0.000449360, 1, 1, 0, 0
0.000449520, 1, 0, 0, 0
0.000449600, 1, 1, 0, 0
0.000449680, 1, 0, 0, 0
0.000449920, 1, 1, 0, 0
0.000450000, 1, 0, 0, 0
0.000450080, 1, 1, 0, 0
0.000450240, 1, 0, 0, 0
0.000450320, 1, 1, 0, 0
0.000450400, 1, 0, 0, 0
0.000450480, 1, 1, 0, 0
0.000450720, 1, 0, 0, 0
0.000450800, 1, 1, 0, 0
0.000450960, 1, 0, 0, 0
0.000451120, 1, 1, 0, 0
0.000451520, 1, 0, 0, 0
0.000451760, 1, 1, 0, 0
0.000452000, 1, 0, 0, 0
0.000452400, 1, 1, 0, 0
0.000452480, 1, 0, 0, 0
0.000452560, 1, 1, 0, 0
0.000452640, 1, 0, 0, 0
0.000452800, 1, 1, 0, 0
0.000452960, 1, 0, 0, 0
0.000453040, 1, 1, 0, 0
0.000453120, 1, 0, 0, 0
0.000453200, 1, 1, 0, 0
0.000453520, 1, 0, 0, 0
0.000453680, 1, 1, 0, 0
